"BOROUGH","NEIGHBORHOOD","TYPE OF HOME","NUMBER OF SALES","LOWEST SALE PRICE","AVERAGE SALE PRICE","MEDIAN SALE PRICE","HIGHEST SALE PRICE","YEAR"
"4","SPRINGFIELD GARDENS","02 TWO FAMILY DWELLINGS","96","$205,000","$839,136.6354166666","$867,500","$1,340,000","2024"
"4","SPRINGFIELD GARDENS","01 ONE FAMILY DWELLINGS","147","$230,000","$604,128.6394557824","$600,000","$1,315,000","2024"
"4","SOUTH OZONE PARK","03 THREE FAMILY DWELLINGS","4","$400,000","$506,162.5","$532,500","$559,650","2024"
"4","SOUTH OZONE PARK","02 TWO FAMILY DWELLINGS","82","$200,000","$857,404.6341463415","$817,170","$1,480,000","2024"
"4","SOUTH OZONE PARK","01 ONE FAMILY DWELLINGS","148","$200,000","$660,664.8513513514","$661,250","$1,580,000","2024"
"4","SOUTH JAMAICA","03 THREE FAMILY DWELLINGS","9","$375,000","$1,019,282","$930,000","$1,653,228","2024"
"4","SOUTH JAMAICA","02 TWO FAMILY DWELLINGS","92","$350,000","$866,842.054347826","$852,500","$1,736,093","2024"
"4","SOUTH JAMAICA","01 ONE FAMILY DWELLINGS","101","$275,500","$582,374.6831683168","$572,000","$900,000","2024"
"4","SO. JAMAICA-BAISLEY PARK","03 THREE FAMILY DWELLINGS","1","$860,000","$860,000","$860,000","$860,000","2024"
"4","SO. JAMAICA-BAISLEY PARK","02 TWO FAMILY DWELLINGS","85","$260,000","$840,259.7176470588","$835,000","$1,400,000","2024"
"4","SO. JAMAICA-BAISLEY PARK","01 ONE FAMILY DWELLINGS","211","$200,000","$578,287.0568720379","$588,500","$1,288,203","2024"
"4","ROSEDALE","03 THREE FAMILY DWELLINGS","5","$730,000","$849,000","$800,000","$986,000","2024"
"4","ROSEDALE","02 TWO FAMILY DWELLINGS","95","$260,000","$928,861.9789473685","$895,000","$1,620,000","2024"
"4","ROSEDALE","01 ONE FAMILY DWELLINGS","95","$300,000","$674,732.2631578947","$665,000","$1,462,000","2024"
"4","ROCKAWAY PARK","03 THREE FAMILY DWELLINGS","4","$660,000","$930,500","$981,000","$1,100,000","2024"
"4","ROCKAWAY PARK","02 TWO FAMILY DWELLINGS","9","$650,000","$963,722.2222222222","$860,000","$1,600,000","2024"
"4","ROCKAWAY PARK","01 ONE FAMILY DWELLINGS","6","$300,000","$598,333.3333333334","$545,000","$980,000","2024"
"4","RIDGEWOOD","03 THREE FAMILY DWELLINGS","20","$440,000","$1,225,904.4","$1,185,000","$1,985,588","2024"
"4","RIDGEWOOD","02 TWO FAMILY DWELLINGS","81","$400,000","$1,112,342.481481482","$1,120,000","$2,020,000","2024"
"4","RIDGEWOOD","01 ONE FAMILY DWELLINGS","11","$370,000","$903,725","$900,000","$1,300,000","2024"
"4","RICHMOND HILL","03 THREE FAMILY DWELLINGS","24","$500,000","$1,065,489.708333333","$1,105,000","$1,666,753","2024"
"4","RICHMOND HILL","02 TWO FAMILY DWELLINGS","154","$214,200","$844,929.7532467532","$825,000","$2,200,000","2024"
"4","RICHMOND HILL","01 ONE FAMILY DWELLINGS","123","$315,000","$684,499.4796747967","$680,000","$1,700,000","2024"
"4","REGO PARK","03 THREE FAMILY DWELLINGS","5","$930,000","$1,158,179.2","$995,000","$1,750,000","2024"
"4","REGO PARK","02 TWO FAMILY DWELLINGS","11","$350,000","$1,270,000","$1,320,000","$2,800,000","2024"
"4","REGO PARK","01 ONE FAMILY DWELLINGS","48","$200,000","$988,440.375","$952,500","$2,400,000","2024"
"4","QUEENS VILLAGE","03 THREE FAMILY DWELLINGS","2","$667,800","$718,900","$718,900","$770,000","2024"
"4","QUEENS VILLAGE","02 TWO FAMILY DWELLINGS","57","$250,000","$831,584.0701754387","$850,000","$1,530,000","2024"
"4","QUEENS VILLAGE","01 ONE FAMILY DWELLINGS","203","$280,000","$697,549.6551724138","$710,000","$1,580,000","2024"
"4","OZONE PARK","03 THREE FAMILY DWELLINGS","10","$600,000","$1,050,050","$1,050,000","$1,350,000","2024"
"4","OZONE PARK","02 TWO FAMILY DWELLINGS","103","$200,000","$853,697.3883495146","$850,000","$1,555,000","2024"
"4","OZONE PARK","01 ONE FAMILY DWELLINGS","93","$244,000","$668,598.6129032258","$675,000","$999,000","2024"
"4","OAKLAND GARDENS","03 THREE FAMILY DWELLINGS","1","$1,520,000","$1,520,000","$1,520,000","$1,520,000","2024"
"4","OAKLAND GARDENS","02 TWO FAMILY DWELLINGS","10","$420,000","$1,366,816.6","$1,270,000","$2,240,150","2024"
"4","OAKLAND GARDENS","01 ONE FAMILY DWELLINGS","56","$540,000","$1,092,390.785714286","$1,010,000","$2,760,000","2024"
"4","NEPONSIT","01 ONE FAMILY DWELLINGS","15","$575,000","$1,062,261.733333333","$875,000","$1,900,000","2024"
"4","MIDDLE VILLAGE","03 THREE FAMILY DWELLINGS","25","$930,000","$1,275,423.52","$1,275,000","$1,660,088","2024"
"4","MIDDLE VILLAGE","02 TWO FAMILY DWELLINGS","60","$226,000","$993,620.5333333333","$982,500","$1,560,000","2024"
"4","MIDDLE VILLAGE","01 ONE FAMILY DWELLINGS","151","$225,000","$829,651.9735099338","$839,500","$2,000,000","2024"
"4","MASPETH","03 THREE FAMILY DWELLINGS","18","$200,000","$949,045.3333333334","$1,031,250","$1,880,000","2024"
"4","MASPETH","02 TWO FAMILY DWELLINGS","64","$300,000","$959,234.375","$970,000","$1,533,000","2024"
"4","MASPETH","01 ONE FAMILY DWELLINGS","66","$297,619","$793,042.5151515151","$800,000","$1,275,000","2024"
"4","LONG ISLAND CITY","03 THREE FAMILY DWELLINGS","9","$515,000","$1,259,444.444444444","$1,320,000","$2,125,000","2024"
