id,host_id,price,reply time,guest favourite,host since,room_type,host total listings count,consumer,total reviewers number,accommodates,bathrooms,bedrooms,beds,listing number,host response rate,host acceptance rate,sales,price_log,city_Amsterdam,city_Dublin,city_Hongkong,city_Munich,city_NewYork,city_Singapore,city_Toronto,city_berlin,city_sydney,city_taipei,city_tokyo,area_Asia,area_Europe,area_North America,consumer_missing_flag,host_experience_days,property_size_category
49727,412851102,70.0,0.0,0,1970-01-01 00:00:00.000001022,2,1,6.67,19,2,0.0,0,1,1,0.0,0.41,276,4.2626798770413155,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49728,549372436,150.0,1.0,0,1970-01-01 00:00:00.000000149,2,18,6.67,0,4,0.0,0,4,18,1.0,0.76,80,5.017279836814924,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49729,13165967,75.0,0.0,0,1970-01-01 00:00:00.000003700,3,1,6.67,11,2,0.0,0,1,2,0.67,0.9,304,4.330733340286331,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49730,35133055,171.0,0.0,0,1970-01-01 00:00:00.000003252,3,1,6.67,2,3,0.0,0,1,1,0.5,0.14,323,5.147494476813453,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49731,183585736,129.0,1.0,0,1970-01-01 00:00:00.000002213,2,1,6.67,5,2,0.0,0,1,1,1.0,0.91,3,4.867534450455582,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49732,12952752,80.0,0.0,0,1970-01-01 00:00:00.000003706,2,3,6.67,18,2,0.0,0,1,3,0.0,0.0,4,4.394449154672439,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49733,79966699,110.0,1.0,0,1970-01-01 00:00:00.000002866,3,1,6.67,2,3,0.0,0,1,1,1.0,0.56,317,4.709530201312334,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49734,117090017,200.0,1.0,1,1970-01-01 00:00:00.000002628,3,1,6.67,1,4,0.0,0,2,1,1.0,0.2,145,5.303304908059076,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49735,4289796,143.0,1.0,1,1970-01-01 00:00:00.000004170,3,2,6.67,213,4,0.0,0,3,3,1.0,0.9,85,4.969813299576001,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49736,52981690,203.0,1.0,1,1970-01-01 00:00:00.000003043,3,6,6.67,21,4,0.0,0,2,10,0.93,0.98,89,5.318119993844216,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49737,508016230,386.0,1.0,1,1970-01-01 00:00:00.000000396,2,3,6.67,30,1,0.0,0,1,3,1.0,0.99,189,5.958424693029782,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49738,180871,230.0,0.0,0,1970-01-01 00:00:00.000005028,2,1,6.67,0,2,0.0,0,1,1,0.0,0.0,275,5.442417710521793,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49739,28008527,83.0,1.0,0,1970-01-01 00:00:00.000003359,3,1,6.67,7,2,0.0,0,1,4,1.0,0.85,337,4.430816798843313,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49740,549372436,150.0,1.0,0,1970-01-01 00:00:00.000000149,2,18,6.67,0,4,0.0,0,4,18,1.0,0.76,80,5.017279836814924,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49741,26990120,42.0,0.0,0,1970-01-01 00:00:00.000003378,2,1,6.67,1,1,0.0,0,1,1,0.4,0.14,360,3.7612001156935624,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49742,549372436,150.0,1.0,0,1970-01-01 00:00:00.000000149,2,18,6.67,0,4,0.0,0,4,18,1.0,0.76,81,5.017279836814924,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49743,135423811,84.0,0.0,0,1970-01-01 00:00:00.000002511,3,1,6.67,6,2,0.0,0,1,1,0.29,0.23,8,4.442651256490317,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49744,206247498,106.0,1.0,1,1970-01-01 00:00:00.000002102,3,1,6.67,2,2,0.0,0,1,1,0.89,0.83,280,4.672828834461906,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49745,350763352,310.0,0.0,0,1970-01-01 00:00:00.000001412,3,1,6.67,2,4,0.0,0,2,1,0.0,0.43,285,5.739792912179234,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49746,62220478,92.0,1.0,0,1970-01-01 00:00:00.000002975,2,2,6.67,84,2,0.0,0,1,2,1.0,0.59,351,4.532599493153256,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49747,449484441,280.0,0.0,0,1970-01-01 00:00:00.000000779,3,1,6.67,0,3,0.0,0,4,1,0.0,0.0,276,5.638354669333745,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49748,539327255,200.0,1.0,1,1970-01-01 00:00:00.000000216,3,1,6.67,1,4,0.0,0,1,1,1.0,0.86,115,5.303304908059076,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49749,351280256,150.0,0.0,0,1970-01-01 00:00:00.000001409,3,1,6.67,2,4,0.0,0,4,1,0.0,0.13,152,5.017279836814924,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49750,144448253,116.0,1.0,0,1970-01-01 00:00:00.000002461,3,1,6.67,8,4,0.0,0,2,1,1.0,0.69,357,4.762173934797756,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49751,501520513,100.0,1.0,1,1970-01-01 00:00:00.000000439,3,1,6.67,3,2,0.0,0,1,1,1.0,0.57,316,4.61512051684126,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49752,419561374,210.0,1.0,1,1970-01-01 00:00:00.000000983,2,1,6.67,2,2,0.0,0,1,2,1.0,0.86,345,5.351858133476067,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49753,11930634,149.0,1.0,0,1970-01-01 00:00:00.000003739,3,3,6.67,9,2,0.0,0,2,7,1.0,1.0,238,5.0106352940962555,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49754,42554889,78.0,0.0,0,1970-01-01 00:00:00.000003171,3,1,6.67,0,2,0.0,0,1,1,0.0,0.0,307,4.3694478524670215,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49755,34886210,90.0,1.0,0,1970-01-01 00:00:00.000003255,3,1,6.67,43,2,0.0,0,2,1,1.0,0.9,34,4.51085950651685,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49756,171395168,107.0,1.0,0,1970-01-01 00:00:00.000002279,3,1,6.67,1,2,0.0,0,1,1,1.0,0.63,355,4.68213122712422,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49757,344006249,120.0,0.0,0,1970-01-01 00:00:00.000001476,3,1,6.67,0,2,0.0,0,2,1,0.5,0.0,250,4.795790545596741,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49758,73675662,115.0,1.0,0,1970-01-01 00:00:00.000002899,3,1,6.67,9,2,0.0,0,1,1,1.0,0.67,329,4.7535901911063645,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49759,64418436,85.0,0.0,0,1970-01-01 00:00:00.000002959,3,1,6.67,7,2,0.0,0,1,1,0.33,0.28,282,4.454347296253507,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
